"Paper>Fine, Office, Envelopes>Junk Mail, Flyers, Unaddressed Mail ",3949538
"Paper>Fine, Office, Envelopes>Other Fine Office Paper or Envelopes ",7460238
"Paper>Newsprint>Sales, Inserts and Free Prints ",2194188
Paper>Newsprint>Other Newsprint ,1316513
Paper>OCC>Recyclable OCC ,4827213
Paper>OCC>Waxed OCC ,0
Paper>OCC>Other Non-Recyclable OCC ,438838
Paper>Boxboard>Cereal Boxes and Other Box Packaging ,7460238
Paper>Bound Paper Products>Telephone Books ,0
Paper>Bound Paper Products>Magazines ,438838
Paper>Bound Paper Products>Books ,877675
Paper>Beverage Containers _ Drink Box/Aseptic>Dairy or Dairy Substitute ,877675
Paper>Beverage Containers _ Drink Box/Aseptic>Non-Dairy/Deposit ,877675
Paper>Other Paper>Single Serving Cups and Lids ,2633025
Paper>Other Paper>Other ,35984675
Plastic>Film>Re-Used Retail & Grocery Bags ,4827213
Plastic>Film>Empty Retail & Grocery Bags ,3071863
Plastic>Film>Consumables Packaging Bags and Film ,21064200
Plastic>Film>Garbage Bags ,4827213
Plastic>Film>Sandwich/Freezer Bags ,1316513
Plastic>Film>Deposit Beverage Pouches ,438838
Plastic>Film>Other Plastic Film ,877675
Plastic>Textiles>Clothing ,3071863
Plastic>Textiles>Other Synthetic Textiles ,11409775
Plastic>Rigid Beverage Containers>Dairy or Dairy Substitute ,438838
Plastic>Rigid Beverage Containers>Deposit Containers _ Water ,438838
Plastic>Rigid Beverage Containers>Deposit Containers _ Other ,438838
Plastic>Rigid Beverage Containers>Single Serving Cups ,438838
Plastic>Rigid Beverage Containers>Other ,0
Plastic>Rigid (non-beverage)># 1 PETE _ Bottles and Jars ,877675
Plastic>Rigid (non-beverage)>#1 PETE _ Other Packaging ,877675
Plastic>Rigid (non-beverage)>#2 HDPE _ Bottles and Jugs ,1316513
Plastic>Rigid (non-beverage)>#2 HDPE _ Tubs and Lids ,438838
Plastic>Rigid (non-beverage)>#3 PVC ,0
Plastic>Rigid (non-beverage)>#4 LDPE ,0
Plastic>Rigid (non-beverage)>#5 PP ,1755350
Plastic>Rigid (non-beverage)>#6 PS _ Non-Foam ,877675
Plastic>Rigid (non-beverage)>#6 PS _ Foam ,6582563
Plastic>Rigid (non-beverage)>#7 Mixed Resin Plastic ,0
Plastic>Rigid (non-beverage)>Uncoded Packaging/Containers ,2194188
Plastic>Other>Durable Plastic Products ,10532100
Plastic>Other>Other/Mixed Plastics ,0
"Compostable Plastics>Foodware>Cutlery, Cups, Lids, Boxes, Trays ",0
Compostable Plastics>Film>Bags and Liners ,0
"Compostable Plastics>Other Compostable Plastics>Sunchip Bags, Bottles ",1316513
Compostable Organics>Yard & Garden>Small Yard Waste ,21503038
Compostable Organics>Yard & Garden>Large Yard Waste ,438838
Compostable Organics>Food Waste>Unavoidable Food Waste ,44761425
"Compostable Organics>Food Waste>Plate Scrapings, Unfinished Meals ",35984675
Compostable Organics>Donatable Food Waste>Whole Fruits and Vegetables ,15798150
"Compostable Organics>Donatable Food Waste>Whole Meats, Fish ",3949538
Compostable Organics>Donatable Food Waste>Full/Unused Ready-Made ,6143725
Compostable Organics>Donatable Food Waste>Baked Goods ,5704888
"Compostable Organics>Donatable Food Waste>Deli (cheese, salads) ",2633025
"Compostable Organics>Donatable Food Waste>Liquids (drinks, oil in package) ",6143725
Compostable Organics>Clean Wood>Wood Pallets ,0
Compostable Organics>Clean Wood>Unfinished Wood Furniture ,2633025
Compostable Organics>Clean Wood>Other Wood ,5266050
"Compostable Organics>Other Compostable Organics>Manure, Slaughterhouse, Animals ",438838
Non-Compostable Organics>Treated or Painted Wood>Pressure Treated Wood ,3510700
